Code,UIS_Source_Code,ISO_Source_Code,Source,UIS_Target_Code,ISO_Target_Code,Target,Total
36040,360,AUS,Australia,40,AFG,Afghanistan,4057131
360500,360,AUS,Australia,500,BGD,Bangladesh,61074144
360640,360,AUS,Australia,640,BTN,Bhutan,136103
3604060,360,AUS,Australia,4060,KHM,Cambodia,7397
3601840,360,AUS,Australia,1840,COK,Cook Islands,9597
3602420,360,AUS,Australia,2420,FJI,Fiji,3416974
3603560,360,AUS,Australia,3560,IND,India,7958
3603600,360,AUS,Australia,3600,IDN,Indonesia,45539090
3603680,360,AUS,Australia,3680,IRQ,Iraq,646990
3602960,360,AUS,Australia,2960,KIR,Kiribati,6889470
3604180,360,AUS,Australia,4180,LAO,Lao People's Democratic Republic,10220128
3604620,360,AUS,Australia,4620,MDV,Maldives,158036
3605840,360,AUS,Australia,5840,MHL,Marshall Islands,9597
3604845,360,AUS,Australia,4845,FSM,Micronesia,19836
3604960,360,AUS,Australia,4960,MNG,Mongolia,499949
3601040,360,AUS,Australia,1040,MMR,Myanmar,12073058
3605200,360,AUS,Australia,5200,NRU,Nauru,157711
3605240,360,AUS,Australia,5240,NPL,Nepal,6056854
3605700,360,AUS,Australia,5700,NIU,Niue,1737858
3605860,360,AUS,Australia,5860,PAK,Pakistan,10117044
360955,360,AUS,Australia,955,PLW,Palau,78992
3605980,360,AUS,Australia,5980,PNG,Papua New Guinea,33235066
3606080,360,AUS,Australia,6080,PHL,Philippines,34867355
3608820,360,AUS,Australia,8820,WSM,Samoa,2402039
360900,360,AUS,Australia,900,SLB,Solomon Islands,1858106
3607340,360,AUS,Australia,7340,LKA,Sri Lanka,4557799
3606260,360,AUS,Australia,6260,TLS,Timor-Leste,2499322
3607760,360,AUS,Australia,7760,TON,Tonga,2892163
3607780,360,AUS,Australia,7780,TUV,Tuvalu,839432
3605480,360,AUS,Australia,5480,VUT,Vanuatu,4524106
3608680,360,AUS,Australia,8680,VNM,Viet Nam,111128
40040,400,AUT,Austria,40,AFG,Afghanistan,579
40080,400,AUT,Austria,80,ALB,Albania,232321
400120,400,AUT,Austria,120,DZA,Algeria,919
400320,400,AUT,Austria,320,ARG,Argentina,1774
400340,400,AUT,Austria,340,ARM,Armenia,6249
400380,400,AUT,Austria,380,AZE,Azerbaijan,1427
400500,400,AUT,Austria,500,BGD,Bangladesh,24206
4008050,400,AUT,Austria,8050,BLR,Belarus,2482
4002040,400,AUT,Austria,2040,BEN,Benin,1176
400680,400,AUT,Austria,680,BOL,Bolivia,122
400570,400,AUT,Austria,570,BIH,Bosnia and Herzegovina,135965
400760,400,AUT,Austria,760,BRA,Brazil,24381
4008540,400,AUT,Austria,8540,BFA,Burkina Faso,23710
4001080,400,AUT,Austria,1080,BDI,Burundi,12854
4001320,400,AUT,Austria,1320,CPV,Cabo Verde,206
4004060,400,AUT,Austria,4060,KHM,Cambodia,6316
4001200,400,AUT,Austria,1200,CMR,Cameroon,1976
4001520,400,AUT,Austria,1520,CHL,Chile,318
4001560,400,AUT,Austria,1560,CHN,China,4447
4001700,400,AUT,Austria,1700,COL,Colombia,7872
4001780,400,AUT,Austria,1780,COG,Congo,4905
4003840,400,AUT,Austria,3840,CIV,Côte d'Ivoire,2371
4001920,400,AUT,Austria,1920,CUB,Cuba,5595
4008920,400,AUT,Austria,8920,COD,Democratic Republic of the Congo,4893
4002200,400,AUT,Austria,2200,EGY,Egypt,2371
4002300,400,AUT,Austria,2300,ETH,Ethiopia,82755
4002700,400,AUT,Austria,2700,GMB,Gambia,4979
4002720,400,AUT,Austria,2720,GEO,Georgia,5593
4002880,400,AUT,Austria,2880,GHA,Ghana,18794
4003200,400,AUT,Austria,3200,GTM,Guatemala,50418
4003240,400,AUT,Austria,3240,GIN,Guinea,7198
4003560,400,AUT,Austria,3560,IND,India,46249
4003680,400,AUT,Austria,3680,IRQ,Iraq,16384
4004020,400,AUT,Austria,4020,KAZ,Kazakhstan,6357
4004040,400,AUT,Austria,4040,KEN,Kenya,59937
4004160,400,AUT,Austria,4160,KGZ,Kyrgyzstan,3101
4004500,400,AUT,Austria,4500,MDG,Madagascar,2352
4004840,400,AUT,Austria,4840,MEX,Mexico,33094
4004960,400,AUT,Austria,4960,MNG,Mongolia,14528
4004990,400,AUT,Austria,4990,MNE,Montenegro,96243
4005040,400,AUT,Austria,5040,MAR,Morocco,1176
4005080,400,AUT,Austria,5080,MOZ,Mozambique,338508
4005160,400,AUT,Austria,5160,NAM,Namibia,598
4005240,400,AUT,Austria,5240,NPL,Nepal,365
4005580,400,AUT,Austria,5580,NIC,Nicaragua,215733
4005620,400,AUT,Austria,5620,NER,Niger,2250
4005660,400,AUT,Austria,5660,NGA,Nigeria,22896
4005860,400,AUT,Austria,5860,PAK,Pakistan,664
4005980,400,AUT,Austria,5980,PNG,Papua New Guinea,60535
4006040,400,AUT,Austria,6040,PER,Peru,2879
4006220,400,AUT,Austria,6220,MDA,Republic of Moldova,123832
4006860,400,AUT,Austria,6860,SEN,Senegal,7877
4006880,400,AUT,Austria,6880,SRB,Serbia,88883
4006940,400,AUT,Austria,6940,SLE,Sierra Leone,122
4007100,400,AUT,Austria,7100,ZAF,South Africa,53581
4007280,400,AUT,Austria,7280,SSD,South Sudan,1328
4007340,400,AUT,Austria,7340,LKA,Sri Lanka,4979
4007610,400,AUT,Austria,7610,TJK,Tajikistan,2371
4007640,400,AUT,Austria,7640,THA,Thailand,598
4004480,400,AUT,Austria,4480,MKD,The former Yugoslav Republic of Macedonia,92190
4007680,400,AUT,Austria,7680,TGO,Togo,2722
4007880,400,AUT,Austria,7880,TUN,Tunisia,598
4007920,400,AUT,Austria,7920,TUR,Turkey,1674
4008000,400,AUT,Austria,8000,UGA,Uganda,66188
4008070,400,AUT,Austria,8070,UKR,Ukraine,101551
4007620,400,AUT,Austria,7620,TZA,United Republic of Tanzania,85094
4008600,400,AUT,Austria,8600,UZB,Uzbekistan,3161
4008680,400,AUT,Austria,8680,VNM,Viet Nam,4807
4008940,400,AUT,Austria,8940,ZMB,Zambia,2089
4007160,400,AUT,Austria,7160,ZWE,Zimbabwe,21229
56040,560,BEL,Belgium,40,AFG,Afghanistan,320213
560500,560,BEL,Belgium,500,BGD,Bangladesh,6640
5602040,560,BEL,Belgium,2040,BEN,Benin,23512
560680,560,BEL,Belgium,680,BOL,Bolivia,311907
5608540,560,BEL,Belgium,8540,BFA,Burkina Faso,93325
5601080,560,BEL,Belgium,1080,BDI,Burundi,1604109
5604060,560,BEL,Belgium,4060,KHM,Cambodia,774386
5601200,560,BEL,Belgium,1200,CMR,Cameroon,31136
5601400,560,BEL,Belgium,1400,CAF,Central African Republic,1617
5601700,560,BEL,Belgium,1700,COL,Colombia,358974
5608920,560,BEL,Belgium,8920,COD,Democratic Republic of the Congo,1831965
5602300,560,BEL,Belgium,2300,ETH,Ethiopia,47389
5602700,560,BEL,Belgium,2700,GMB,Gambia,5579
5602880,560,BEL,Belgium,2880,GHA,Ghana,354
5603200,560,BEL,Belgium,3200,GTM,Guatemala,11353
5603240,560,BEL,Belgium,3240,GIN,Guinea,2197
5603320,560,BEL,Belgium,3320,HTI,Haiti,12251
5603560,560,BEL,Belgium,3560,IND,India,40189
5603600,560,BEL,Belgium,3600,IDN,Indonesia,15807
5604040,560,BEL,Belgium,4040,KEN,Kenya,269952
5604180,560,BEL,Belgium,4180,LAO,Lao People's Democratic Republic,5226
5604220,560,BEL,Belgium,4220,LBN,Lebanon,996
5604300,560,BEL,Belgium,4300,LBR,Liberia,3588
5604540,560,BEL,Belgium,4540,MWI,Malawi,12432
5604660,560,BEL,Belgium,4660,MLI,Mali,25261
5605040,560,BEL,Belgium,5040,MAR,Morocco,1044
5605080,560,BEL,Belgium,5080,MOZ,Mozambique,719637
5601040,560,BEL,Belgium,1040,MMR,Myanmar,19280
5605240,560,BEL,Belgium,5240,NPL,Nepal,16214
5605580,560,BEL,Belgium,5580,NIC,Nicaragua,8150
5605620,560,BEL,Belgium,5620,NER,Niger,19347
5605660,560,BEL,Belgium,5660,NGA,Nigeria,5723
5605860,560,BEL,Belgium,5860,PAK,Pakistan,3213
5606040,560,BEL,Belgium,6040,PER,Peru,21118
5606080,560,BEL,Belgium,6080,PHL,Philippines,22202
5606220,560,BEL,Belgium,6220,MDA,Republic of Moldova,5022
5606460,560,BEL,Belgium,6460,RWA,Rwanda,2604425
5606860,560,BEL,Belgium,6860,SEN,Senegal,19411
5607100,560,BEL,Belgium,7100,ZAF,South Africa,511109
5607400,560,BEL,Belgium,7400,SUR,Suriname,23849
5607680,560,BEL,Belgium,7680,TGO,Togo,8245
5608000,560,BEL,Belgium,8000,UGA,Uganda,846835
5607620,560,BEL,Belgium,7620,TZA,United Republic of Tanzania,7737
5608680,560,BEL,Belgium,8680,VNM,Viet Nam,2926643
124040,1240,CAN,Canada,40,AFG,Afghanistan,16542221
1240120,1240,CAN,Canada,120,DZA,Algeria,12134
1240280,1240,CAN,Canada,280,ATG,Antigua and Barbuda,16577
1240320,1240,CAN,Canada,320,ARG,Argentina,30449
1240500,1240,CAN,Canada,500,BGD,Bangladesh,6657622
1240580,1240,CAN,Canada,580,BLZ,Belize,48415
12402040,1240,CAN,Canada,2040,BEN,Benin,613867
1240640,1240,CAN,Canada,640,BTN,Bhutan,13166
1240680,1240,CAN,Canada,680,BOL,Bolivia,1208263
1240720,1240,CAN,Canada,720,BWA,Botswana,64398
1240760,1240,CAN,Canada,760,BRA,Brazil,52911
12408540,1240,CAN,Canada,8540,BFA,Burkina Faso,9038092
12404060,1240,CAN,Canada,4060,KHM,Cambodia,80352
12401200,1240,CAN,Canada,1200,CMR,Cameroon,127049
12401520,1240,CAN,Canada,1520,CHL,Chile,154342
12401560,1240,CAN,Canada,1560,CHN,China,28747
12401700,1240,CAN,Canada,1700,COL,Colombia,4402037
12401880,1240,CAN,Canada,1880,CRI,Costa Rica,41967
12403840,1240,CAN,Canada,3840,CIV,Côte d'Ivoire,110951
12401920,1240,CAN,Canada,1920,CUB,Cuba,62489
12408920,1240,CAN,Canada,8920,COD,Democratic Republic of the Congo,591159
12402120,1240,CAN,Canada,2120,DMA,Dominica,2084
12402140,1240,CAN,Canada,2140,DOM,Dominican Republic,51593
12402180,1240,CAN,Canada,2180,ECU,Ecuador,19608
12402200,1240,CAN,Canada,2200,EGY,Egypt,386388
12402220,1240,CAN,Canada,2220,SLV,El Salvador,165604
12402300,1240,CAN,Canada,2300,ETH,Ethiopia,2515707
12402720,1240,CAN,Canada,2720,GEO,Georgia,10266
12402880,1240,CAN,Canada,2880,GHA,Ghana,3305048
12403080,1240,CAN,Canada,3080,GRD,Grenada,30522
12403200,1240,CAN,Canada,3200,GTM,Guatemala,207162
12403240,1240,CAN,Canada,3240,GIN,Guinea,68791
12403280,1240,CAN,Canada,3280,GUY,Guyana,109545
12403320,1240,CAN,Canada,3320,HTI,Haiti,8387429
12403400,1240,CAN,Canada,3400,HND,Honduras,645513
12403560,1240,CAN,Canada,3560,IND,India,837507
12403600,1240,CAN,Canada,3600,IDN,Indonesia,284340
12403880,1240,CAN,Canada,3880,JAM,Jamaica,154487
12404000,1240,CAN,Canada,4000,JOR,Jordan,3054946
12404040,1240,CAN,Canada,4040,KEN,Kenya,6487248
12404160,1240,CAN,Canada,4160,KGZ,Kyrgyzstan,152623
12404180,1240,CAN,Canada,4180,LAO,Lao People's Democratic Republic,27358
12404260,1240,CAN,Canada,4260,LSO,Lesotho,17707
12404300,1240,CAN,Canada,4300,LBR,Liberia,287549
12404340,1240,CAN,Canada,4340,LBY,Libya,7222
12404500,1240,CAN,Canada,4500,MDG,Madagascar,24633
12404540,1240,CAN,Canada,4540,MWI,Malawi,1331017
12404660,1240,CAN,Canada,4660,MLI,Mali,4684162
12404780,1240,CAN,Canada,4780,MRT,Mauritania,9590
12404840,1240,CAN,Canada,4840,MEX,Mexico,53205
12404960,1240,CAN,Canada,4960,MNG,Mongolia,52739
12405040,1240,CAN,Canada,5040,MAR,Morocco,1456313
12405080,1240,CAN,Canada,5080,MOZ,Mozambique,16443227
12405160,1240,CAN,Canada,5160,NAM,Namibia,5320
12405240,1240,CAN,Canada,5240,NPL,Nepal,81580
12405580,1240,CAN,Canada,5580,NIC,Nicaragua,537657
12405620,1240,CAN,Canada,5620,NER,Niger,92714
12405660,1240,CAN,Canada,5660,NGA,Nigeria,112631
12405860,1240,CAN,Canada,5860,PAK,Pakistan,5177934
12405900,1240,CAN,Canada,5900,PAN,Panama,24267
12405980,1240,CAN,Canada,5980,PNG,Papua New Guinea,18795
12406040,1240,CAN,Canada,6040,PER,Peru,3467176
12406080,1240,CAN,Canada,6080,PHL,Philippines,87784
12406460,1240,CAN,Canada,6460,RWA,Rwanda,790775
12406700,1240,CAN,Canada,6700,VCT,Saint Vincent and the Grenadines,15021
12406860,1240,CAN,Canada,6860,SEN,Senegal,22650173
12406880,1240,CAN,Canada,6880,SRB,Serbia,15931
12406940,1240,CAN,Canada,6940,SLE,Sierra Leone,291649
1240900,1240,CAN,Canada,900,SLB,Solomon Islands,11952
12407060,1240,CAN,Canada,7060,SOM,Somalia,24321
12407100,1240,CAN,Canada,7100,ZAF,South Africa,106059
12407280,1240,CAN,Canada,7280,SSD,South Sudan,1225841
12407340,1240,CAN,Canada,7340,LKA,Sri Lanka,135236
12407290,1240,CAN,Canada,7290,SDN,Sudan,520815
12407400,1240,CAN,Canada,7400,SUR,Suriname,13937
12407600,1240,CAN,Canada,7600,SYR,Syrian Arab Republic,27990
12407610,1240,CAN,Canada,7610,TJK,Tajikistan,244191
12407640,1240,CAN,Canada,7640,THA,Thailand,62583
12407880,1240,CAN,Canada,7880,TUN,Tunisia,16014
12407920,1240,CAN,Canada,7920,TUR,Turkey,10646
12408000,1240,CAN,Canada,8000,UGA,Uganda,305141
12408070,1240,CAN,Canada,8070,UKR,Ukraine,454335
12407620,1240,CAN,Canada,7620,TZA,United Republic of Tanzania,17032617
12408580,1240,CAN,Canada,8580,URY,Uruguay,23374
12408620,1240,CAN,Canada,8620,VEN,Venezuela,6843
12408680,1240,CAN,Canada,8680,VNM,Viet Nam,266694
12408850,1240,CAN,Canada,8850,YEM,Yemen,34132
12408940,1240,CAN,Canada,8940,ZMB,Zambia,76541
12407160,1240,CAN,Canada,7160,ZWE,Zimbabwe,9600
202040,2020,CZE,Czech Republic,40,AFG,Afghanistan,113018
2020120,2020,CZE,Czech Republic,120,DZA,Algeria,7783
2020240,2020,CZE,Czech Republic,240,AGO,Angola,129764
2020340,2020,CZE,Czech Republic,340,ARM,Armenia,2444
2020380,2020,CZE,Czech Republic,380,AZE,Azerbaijan,1917
20208050,2020,CZE,Czech Republic,8050,BLR,Belarus,1731
2020570,2020,CZE,Czech Republic,570,BIH,Bosnia and Herzegovina,13924
20204060,2020,CZE,Czech Republic,4060,KHM,Cambodia,17895
20201520,2020,CZE,Czech Republic,1520,CHL,Chile,1868
20202200,2020,CZE,Czech Republic,2200,EGY,Egypt,4841
20202300,2020,CZE,Czech Republic,2300,ETH,Ethiopia,109451
20202720,2020,CZE,Czech Republic,2720,GEO,Georgia,29286
20203240,2020,CZE,Czech Republic,3240,GIN,Guinea,5085
20203320,2020,CZE,Czech Republic,3320,HTI,Haiti,6388
20203880,2020,CZE,Czech Republic,3880,JAM,Jamaica,4782
20204040,2020,CZE,Czech Republic,4040,KEN,Kenya,2549
20204960,2020,CZE,Czech Republic,4960,MNG,Mongolia,16324
20204990,2020,CZE,Czech Republic,4990,MNE,Montenegro,2224
20201040,2020,CZE,Czech Republic,1040,MMR,Myanmar,3839
20205620,2020,CZE,Czech Republic,5620,NER,Niger,4706
20205660,2020,CZE,Czech Republic,5660,NGA,Nigeria,7176
20205860,2020,CZE,Czech Republic,5860,PAK,Pakistan,14641
20206000,2020,CZE,Czech Republic,6000,PRY,Paraguay,5118
20206220,2020,CZE,Czech Republic,6220,MDA,Republic of Moldova,314754
20206860,2020,CZE,Czech Republic,6860,SEN,Senegal,1291
20206880,2020,CZE,Czech Republic,6880,SRB,Serbia,25359
20207100,2020,CZE,Czech Republic,7100,ZAF,South Africa,618
20207280,2020,CZE,Czech Republic,7280,SSD,South Sudan,1278
20204480,2020,CZE,Czech Republic,4480,MKD,The former Yugoslav Republic of Macedonia,1664
20207920,2020,CZE,Czech Republic,7920,TUR,Turkey,3104
20207780,2020,CZE,Czech Republic,7780,TUV,Tuvalu,2044
20208070,2020,CZE,Czech Republic,8070,UKR,Ukraine,17807
20208680,2020,CZE,Czech Republic,8680,VNM,Viet Nam,4294
20208940,2020,CZE,Czech Republic,8940,ZMB,Zambia,7355
20207160,2020,CZE,Czech Republic,7160,ZWE,Zimbabwe,4317
208040,2080,DNK,Denmark,40,AFG,Afghanistan,12639064
2080240,2080,DNK,Denmark,240,AGO,Angola,5613
2080340,2080,DNK,Denmark,340,ARM,Armenia,56132
2080500,2080,DNK,Denmark,500,BGD,Bangladesh,14595
20802040,2080,DNK,Denmark,2040,BEN,Benin,5604212
2080640,2080,DNK,Denmark,640,BTN,Bhutan,18740
2080680,2080,DNK,Denmark,680,BOL,Bolivia,2924116
20808540,2080,DNK,Denmark,8540,BFA,Burkina Faso,4249181
20801560,2080,DNK,Denmark,1560,CHN,China,352708
20802880,2080,DNK,Denmark,2880,GHA,Ghana,2762297
20803200,2080,DNK,Denmark,3200,GTM,Guatemala,335239
20803400,2080,DNK,Denmark,3400,HND,Honduras,13904
20803640,2080,DNK,Denmark,3640,IRN,Iran (Islamic Republic of),11216
20804000,2080,DNK,Denmark,4000,JOR,Jordan,58210
20804040,2080,DNK,Denmark,4040,KEN,Kenya,106479
20804300,2080,DNK,Denmark,4300,LBR,Liberia,754331
20804540,2080,DNK,Denmark,4540,MWI,Malawi,215893
20804660,2080,DNK,Denmark,4660,MLI,Mali,6705
20805080,2080,DNK,Denmark,5080,MOZ,Mozambique,2055720
20801040,2080,DNK,Denmark,1040,MMR,Myanmar,2290583
20805240,2080,DNK,Denmark,5240,NPL,Nepal,5713748
20805580,2080,DNK,Denmark,5580,NIC,Nicaragua,785147
20805860,2080,DNK,Denmark,5860,PAK,Pakistan,2421372
20806940,2080,DNK,Denmark,6940,SLE,Sierra Leone,601090
20807060,2080,DNK,Denmark,7060,SOM,Somalia,1214363
20807100,2080,DNK,Denmark,7100,ZAF,South Africa,141712
20807280,2080,DNK,Denmark,7280,SSD,South Sudan,605106
20807600,2080,DNK,Denmark,7600,SYR,Syrian Arab Republic,126471
20807640,2080,DNK,Denmark,7640,THA,Thailand,17303
20807880,2080,DNK,Denmark,7880,TUN,Tunisia,252686
20808000,2080,DNK,Denmark,8000,UGA,Uganda,72972
20807620,2080,DNK,Denmark,7620,TZA,United Republic of Tanzania,2120629
20808680,2080,DNK,Denmark,8680,VNM,Viet Nam,432921
20808940,2080,DNK,Denmark,8940,ZMB,Zambia,505119
22808050,2280,EST,Estonia,8050,BLR,Belarus,1992
22806220,2280,EST,Estonia,6220,MDA,Republic of Moldova,23234
22808070,2280,EST,Estonia,8070,UKR,Ukraine,16928
22808850,2280,EST,Estonia,8850,YEM,Yemen,9958
246040,2460,FIN,Finland,40,AFG,Afghanistan,39522
2460240,2460,FIN,Finland,240,AGO,Angola,312813
2460320,2460,FIN,Finland,320,ARG,Argentina,24564
2460500,2460,FIN,Finland,500,BGD,Bangladesh,196054
24608050,2460,FIN,Finland,8050,BLR,Belarus,9191
24602040,2460,FIN,Finland,2040,BEN,Benin,49800
2460680,2460,FIN,Finland,680,BOL,Bolivia,706897
2460720,2460,FIN,Finland,720,BWA,Botswana,6572
2460760,2460,FIN,Finland,760,BRA,Brazil,41103
24601080,2460,FIN,Finland,1080,BDI,Burundi,7070
24604060,2460,FIN,Finland,4060,KHM,Cambodia,239698
24601520,2460,FIN,Finland,1520,CHL,Chile,80236
24601780,2460,FIN,Finland,1780,COG,Congo,5569
24608920,2460,FIN,Finland,8920,COD,Democratic Republic of the Congo,118583
24602180,2460,FIN,Finland,2180,ECU,Ecuador,51993
24602200,2460,FIN,Finland,2200,EGY,Egypt,55292
24602220,2460,FIN,Finland,2220,SLV,El Salvador,5796
24602300,2460,FIN,Finland,2300,ETH,Ethiopia,3913044
24602660,2460,FIN,Finland,2660,GAB,Gabon,11087
24602700,2460,FIN,Finland,2700,GMB,Gambia,23448
24603200,2460,FIN,Finland,3200,GTM,Guatemala,101352
24603320,2460,FIN,Finland,3320,HTI,Haiti,889366
24603560,2460,FIN,Finland,3560,IND,India,196966
24603600,2460,FIN,Finland,3600,IDN,Indonesia,192329
24603680,2460,FIN,Finland,3680,IRQ,Iraq,41525
24603880,2460,FIN,Finland,3880,JAM,Jamaica,2490
24604020,2460,FIN,Finland,4020,KAZ,Kazakhstan,13609
24604040,2460,FIN,Finland,4040,KEN,Kenya,282230
24604160,2460,FIN,Finland,4160,KGZ,Kyrgyzstan,38493
24604180,2460,FIN,Finland,4180,LAO,Lao People's Democratic Republic,367576
24604220,2460,FIN,Finland,4220,LBN,Lebanon,43149
24604300,2460,FIN,Finland,4300,LBR,Liberia,333795
24604500,2460,FIN,Finland,4500,MDG,Madagascar,199155
24604540,2460,FIN,Finland,4540,MWI,Malawi,233402
24604580,2460,FIN,Finland,4580,MYS,Malaysia,115039
24604840,2460,FIN,Finland,4840,MEX,Mexico,57626
24604960,2460,FIN,Finland,4960,MNG,Mongolia,25476
24605040,2460,FIN,Finland,5040,MAR,Morocco,13225
24605080,2460,FIN,Finland,5080,MOZ,Mozambique,6136334
24605160,2460,FIN,Finland,5160,NAM,Namibia,226133
24605240,2460,FIN,Finland,5240,NPL,Nepal,1752232
24605860,2460,FIN,Finland,5860,PAK,Pakistan,1743
2460955,2460,FIN,Finland,955,PLW,Palau,6995
24606040,2460,FIN,Finland,6040,PER,Peru,442872
24606220,2460,FIN,Finland,6220,MDA,Republic of Moldova,29263
24606620,2460,FIN,Finland,6620,LCA,Saint Lucia,8283
24606860,2460,FIN,Finland,6860,SEN,Senegal,136680
24606880,2460,FIN,Finland,6880,SRB,Serbia,26439
24606940,2460,FIN,Finland,6940,SLE,Sierra Leone,653026
24607060,2460,FIN,Finland,7060,SOM,Somalia,140477
24607100,2460,FIN,Finland,7100,ZAF,South Africa,166238
24607340,2460,FIN,Finland,7340,LKA,Sri Lanka,38795
24607290,2460,FIN,Finland,7290,SDN,Sudan,51955
24607480,2460,FIN,Finland,7480,SWZ,Swaziland,194594
24606260,2460,FIN,Finland,6260,TLS,Timor-Leste,329607
24607920,2460,FIN,Finland,7920,TUR,Turkey,4949
24608000,2460,FIN,Finland,8000,UGA,Uganda,1373103
24608070,2460,FIN,Finland,8070,UKR,Ukraine,49188
24607620,2460,FIN,Finland,7620,TZA,United Republic of Tanzania,2205008
24608580,2460,FIN,Finland,8580,URY,Uruguay,20693
24608620,2460,FIN,Finland,8620,VEN,Venezuela,1253
24608680,2460,FIN,Finland,8680,VNM,Viet Nam,82436
24608850,2460,FIN,Finland,8850,YEM,Yemen,8272
24608940,2460,FIN,Finland,8940,ZMB,Zambia,425614
24607160,2460,FIN,Finland,7160,ZWE,Zimbabwe,119635
250040,2500,FRA,France,40,AFG,Afghanistan,2349570
250080,2500,FRA,France,80,ALB,Albania,59023
2500120,2500,FRA,France,120,DZA,Algeria,1565293
2500240,2500,FRA,France,240,AGO,Angola,804955
2500320,2500,FRA,France,320,ARG,Argentina,1334586
2500340,2500,FRA,France,340,ARM,Armenia,276188
2500380,2500,FRA,France,380,AZE,Azerbaijan,41128
2500500,2500,FRA,France,500,BGD,Bangladesh,43790
25008050,2500,FRA,France,8050,BLR,Belarus,51613
25002040,2500,FRA,France,2040,BEN,Benin,523842
2500640,2500,FRA,France,640,BTN,Bhutan,26558
2500680,2500,FRA,France,680,BOL,Bolivia,1064895
2500570,2500,FRA,France,570,BIH,Bosnia and Herzegovina,73650
2500720,2500,FRA,France,720,BWA,Botswana,99022
2500760,2500,FRA,France,760,BRA,Brazil,1821560
25008540,2500,FRA,France,8540,BFA,Burkina Faso,6004507
25001080,2500,FRA,France,1080,BDI,Burundi,4049224
25001320,2500,FRA,France,1320,CPV,Cabo Verde,152522
25004060,2500,FRA,France,4060,KHM,Cambodia,1071250
25001200,2500,FRA,France,1200,CMR,Cameroon,1337440
25001400,2500,FRA,France,1400,CAF,Central African Republic,713778
25001480,2500,FRA,France,1480,TCD,Chad,3512976
25001520,2500,FRA,France,1520,CHL,Chile,2251602
25001560,2500,FRA,France,1560,CHN,China,579405
25001700,2500,FRA,France,1700,COL,Colombia,2768671
25001740,2500,FRA,France,1740,COM,Comoros,836796
25001780,2500,FRA,France,1780,COG,Congo,244434
25001880,2500,FRA,France,1880,CRI,Costa Rica,783336
25003840,2500,FRA,France,3840,CIV,Côte d'Ivoire,395455
25001920,2500,FRA,France,1920,CUB,Cuba,71683
25004090,2500,FRA,France,4090,PRK,Democratic People's Republic of Korea,102666
25008920,2500,FRA,France,8920,COD,Democratic Republic of the Congo,3446822
25002620,2500,FRA,France,2620,DJI,Djibouti,6305552
25002140,2500,FRA,France,2140,DOM,Dominican Republic,393021
25002180,2500,FRA,France,2180,ECU,Ecuador,1215839
25002200,2500,FRA,France,2200,EGY,Egypt,1839525
25002220,2500,FRA,France,2220,SLV,El Salvador,1403573
25002260,2500,FRA,France,2260,GNQ,Equatorial Guinea,383864
25002270,2500,FRA,France,2270,ERI,Eritrea,93761
25002300,2500,FRA,France,2300,ETH,Ethiopia,6011096
25002420,2500,FRA,France,2420,FJI,Fiji,38232
25002660,2500,FRA,France,2660,GAB,Gabon,1180591
25002700,2500,FRA,France,2700,GMB,Gambia,236951
25002720,2500,FRA,France,2720,GEO,Georgia,130967
25002880,2500,FRA,France,2880,GHA,Ghana,349906
25003200,2500,FRA,France,3200,GTM,Guatemala,1048440
25003240,2500,FRA,France,3240,GIN,Guinea,2319313
